Team,Rating,Champion,Runner-Up,3rd Place,Podium,Win %,Pod %
Spain,2165,3,0,0,3,30.0,30.0
England,2020,2,0,0,2,20.0,20.0
Brazil,1984,1,1,0,2,10.0,20.0
Colombia,1975,1,1,0,2,10.0,20.0
Croatia,1930,1,0,1,2,10.0,20.0
Germany,1923,1,0,0,1,10.0,10.0
Panama,1737,1,0,0,1,10.0,10.0
Mexico,1858,0,3,0,3,0.0,30.0
France,2081,0,1,1,2,0.0,20.0
Paraguay,1833,0,1,0,1,0.0,10.0
Canada,1784,0,1,0,1,0.0,10.0
Uzbekistan,1727,0,1,0,1,0.0,10.0
Egypt,1689,0,1,0,1,0.0,10.0
Argentina,2113,0,0,1,1,0.0,10.0
Japan,1904,0,0,1,1,0.0,10.0
Uruguay,1892,0,0,1,1,0.0,10.0
Belgium,1867,0,0,1,1,0.0,10.0
Morocco,1821,0,0,1,1,0.0,10.0
Australia,1783,0,0,1,1,0.0,10.0
Scotland,1767,0,0,1,1,0.0,10.0
South Korea,1752,0,0,1,1,0.0,10.0
Portugal,1984,0,0,0,0,0.0,0.0
Netherlands,1961,0,0,0,0,0.0,0.0
Ecuador,1933,0,0,0,0,0.0,0.0
Norway,1912,0,0,0,0,0.0,0.0
Turkey,1902,0,0,0,0,0.0,0.0
Switzerland,1889,0,0,0,0,0.0,0.0
Senegal,1878,0,0,0,0,0.0,0.0
Denmark,1869,0,0,0,0,0.0,0.0
Italy,1856,0,0,0,0,0.0,0.0
Austria,1827,0,0,0,0,0.0,0.0
Russia,1776,0,0,0,0,0.0,0.0
Serbia,1769,0,0,0,0,0.0,0.0
Ukraine,1767,0,0,0,0,0.0,0.0
Iran,1760,0,0,0,0,0.0,0.0
Nigeria,1752,0,0,0,0,0.0,0.0
Greece,1752,0,0,0,0,0.0,0.0
Algeria,1743,0,0,0,0,0.0,0.0
Poland,1729,0,0,0,0,0.0,0.0
Venezuela,1727,0,0,0,0,0.0,0.0
Czechia,1726,0,0,0,0,0.0,0.0
USA,1721,0,0,0,0,0.0,0.0
Kosovo,1721,0,0,0,0,0.0,0.0
Sweden,1719,0,0,0,0,0.0,0.0
Chile,1710,0,0,0,0,0.0,0.0
Hungary,1703,0,0,0,0,0.0,0.0
Wales,1698,0,0,0,0,0.0,0.0
Peru,1695,0,0,0,0,0.0,0.0
Slovenia,1694,0,0,0,0,0.0,0.0
Ireland,1692,0,0,0,0,0.0,0.0
Jordan,1690,0,0,0,0,0.0,0.0
Côte d'Ivoire,1676,0,0,0,0,0.0,0.0
Slovakia,1673,0,0,0,0,0.0,0.0
DR Congo,1655,0,0,0,0,0.0,0.0
Georgia,1653,0,0,0,0,0.0,0.0
Albania,1646,0,0,0,0,0.0,0.0
Bolivia,1645,0,0,0,0,0.0,0.0
Tunisia,1636,0,0,0,0,0.0,0.0
Israel,1634,0,0,0,0,0.0,0.0
Romania,1627,0,0,0,0,0.0,0.0
Costa Rica,1614,0,0,0,0,0.0,0.0
Cameroon,1614,0,0,0,0,0.0,0.0
Iraq,1607,0,0,0,0,0.0,0.0
Northern Ireland,1601,0,0,0,0,0.0,0.0
Mali,1596,0,0,0,0,0.0,0.0
Bosnia and Herzegovina,1594,0,0,0,0,0.0,0.0
North Macedonia,1589,0,0,0,0,0.0,0.0
New Zealand,1585,0,0,0,0,0.0,0.0
Honduras,1571,0,0,0,0,0.0,0.0
Iceland,1571,0,0,0,0,0.0,0.0
Saudi Arabia,1568,0,0,0,0,0.0,0.0
Cabo Verde,1549,0,0,0,0,0.0,0.0
Angola,1543,0,0,0,0,0.0,0.0
Finland,1542,0,0,0,0,0.0,0.0
United Arab Emirates,1540,0,0,0,0,0.0,0.0
Jamaica,1535,0,0,0,0,0.0,0.0
Haiti,1532,0,0,0,0,0.0,0.0
Burkina Faso,1530,0,0,0,0,0.0,0.0
South Africa,1524,0,0,0,0,0.0,0.0
Guatemala,1515,0,0,0,0,0.0,0.0
Belarus,1513,0,0,0,0,0.0,0.0
Ghana,1505,0,0,0,0,0.0,0.0
Syria,1491,0,0,0,0,0.0,0.0
Oman,1490,0,0,0,0,0.0,0.0
Bulgaria,1475,0,0,0,0,0.0,0.0
Guinea,1469,0,0,0,0,0.0,0.0
Palestine,1469,0,0,0,0,0.0,0.0
Northern Cyprus,1457,0,0,0,0,0.0,0.0
Montenegro,1439,0,0,0,0,0.0,0.0
Curaçao,1436,0,0,0,0,0.0,0.0
Luxembourg,1436,0,0,0,0,0.0,0.0
Suriname,1431,0,0,0,0,0.0,0.0
Kazakhstan,1430,0,0,0,0,0.0,0.0
Benin,1429,0,0,0,0,0.0,0.0
Qatar,1425,0,0,0,0,0.0,0.0
Kurdistan,1424,0,0,0,0,0.0,0.0
China,1423,0,0,0,0,0.0,0.0
Gambia,1423,0,0,0,0,0.0,0.0
Libya,1420,0,0,0,0,0.0,0.0
Bahrain,1418,0,0,0,0,0.0,0.0
Gabon,1401,0,0,0,0,0.0,0.0
Uganda,1394,0,0,0,0,0.0,0.0
Niger,1393,0,0,0,0,0.0,0.0
Trinidad and Tobago,1392,0,0,0,0,0.0,0.0
Equatorial Guinea,1390,0,0,0,0,0.0,0.0
Madagascar,1382,0,0,0,0,0.0,0.0
Faroe Islands,1382,0,0,0,0,0.0,0.0
Armenia,1379,0,0,0,0,0.0,0.0
Thailand,1376,0,0,0,0,0.0,0.0
North Korea,1375,0,0,0,0,0.0,0.0
Mozambique,1372,0,0,0,0,0.0,0.0
Zimbabwe,1371,0,0,0,0,0.0,0.0
Zambia,1370,0,0,0,0,0.0,0.0
Comoros,1362,0,0,0,0,0.0,0.0
Togo,1358,0,0,0,0,0.0,0.0
Kenya,1356,0,0,0,0,0.0,0.0
Vietnam,1351,0,0,0,0,0.0,0.0
Sudan,1350,0,0,0,0,0.0,0.0
Sierra Leone,1348,0,0,0,0,0.0,0.0
Reunion,1345,0,0,0,0,0.0,0.0
El Salvador,1342,0,0,0,0,0.0,0.0
Azerbaijan,1340,0,0,0,0,0.0,0.0
Estonia,1339,0,0,0,0,0.0,0.0
Guadeloupe,1338,0,0,0,0,0.0,0.0
Rwanda,1336,0,0,0,0,0.0,0.0
Lebanon,1333,0,0,0,0,0.0,0.0
Indonesia,1331,0,0,0,0,0.0,0.0
Kuwait,1328,0,0,0,0,0.0,0.0
Nicaragua,1327,0,0,0,0,0.0,0.0
Zanzibar,1321,0,0,0,0,0.0,0.0
Tanzania,1313,0,0,0,0,0.0,0.0
Martinique,1312,0,0,0,0,0.0,0.0
Mauritania,1311,0,0,0,0,0.0,0.0
Namibia,1303,0,0,0,0,0.0,0.0
Latvia,1301,0,0,0,0,0.0,0.0
Cyprus,1301,0,0,0,0,0.0,0.0
Liberia,1296,0,0,0,0,0.0,0.0
Malaysia,1293,0,0,0,0,0.0,0.0
Guyana,1292,0,0,0,0,0.0,0.0
Kyrgyzstan,1291,0,0,0,0,0.0,0.0
Lithuania,1290,0,0,0,0,0.0,0.0
Burundi,1286,0,0,0,0,0.0,0.0
New Caledonia,1286,0,0,0,0,0.0,0.0
Tajikistan,1285,0,0,0,0,0.0,0.0
Ethiopia,1285,0,0,0,0,0.0,0.0
Dominican Republic,1284,0,0,0,0,0.0,0.0
Botswana,1267,0,0,0,0,0.0,0.0
Moldova,1262,0,0,0,0,0.0,0.0
Guinea-Bissau,1248,0,0,0,0,0.0,0.0
Malawi,1241,0,0,0,0,0.0,0.0
Cuba,1239,0,0,0,0,0.0,0.0
Central African Republic,1237,0,0,0,0,0.0,0.0
Malta,1237,0,0,0,0,0.0,0.0
French Guiana,1223,0,0,0,0,0.0,0.0
Mayotte,1216,0,0,0,0,0.0,0.0
Turkmenistan,1209,0,0,0,0,0.0,0.0
Congo,1207,0,0,0,0,0.0,0.0
Lesotho,1205,0,0,0,0,0.0,0.0
Eritrea,1201,0,0,0,0,0.0,0.0
Tahiti,1176,0,0,0,0,0.0,0.0
Philippines,1167,0,0,0,0,0.0,0.0
Yemen,1151,0,0,0,0,0.0,0.0
Eswatini,1149,0,0,0,0,0.0,0.0
Saint Vincent and the Grenadines,1141,0,0,0,0,0.0,0.0
India,1138,0,0,0,0,0.0,0.0
Puerto Rico,1138,0,0,0,0,0.0,0.0
Singapore,1137,0,0,0,0,0.0,0.0
Papua New Guinea,1135,0,0,0,0,0.0,0.0
Hong Kong,1120,0,0,0,0,0.0,0.0
Bermuda,1119,0,0,0,0,0.0,0.0
Vanuatu,1114,0,0,0,0,0.0,0.0
South Sudan,1109,0,0,0,0,0.0,0.0
Fiji,1108,0,0,0,0,0.0,0.0
Grenada,1098,0,0,0,0,0.0,0.0
Andorra,1077,0,0,0,0,0.0,0.0
Mauritius,1073,0,0,0,0,0.0,0.0
Chad,1073,0,0,0,0,0.0,0.0
Belize,1073,0,0,0,0,0.0,0.0
Solomon Islands,1054,0,0,0,0,0.0,0.0
Saint Martin,1042,0,0,0,0,0.0,0.0
Sao Tome and Principe,1035,0,0,0,0,0.0,0.0
Saint Kitts and Nevis,1029,0,0,0,0,0.0,0.0
Afghanistan,1011,0,0,0,0,0.0,0.0
Somaliland,1005,0,0,0,0,0.0,0.0
Saint Lucia,1003,0,0,0,0,0.0,0.0
Gibraltar,1002,0,0,0,0,0.0,0.0
Western Sahara,996,0,0,0,0,0.0,0.0
Myanmar,982,0,0,0,0,0.0,0.0
Aruba,979,0,0,0,0,0.0,0.0
Somalia,979,0,0,0,0,0.0,0.0
Sint Maarten,975,0,0,0,0,0.0,0.0
Montserrat,971,0,0,0,0,0.0,0.0
Greenland,946,0,0,0,0,0.0,0.0
Djibouti,940,0,0,0,0,0.0,0.0
Dominica,934,0,0,0,0,0.0,0.0
Bangladesh,932,0,0,0,0,0.0,0.0
Liechtenstein,904,0,0,0,0,0.0,0.0
Monaco,903,0,0,0,0,0.0,0.0
Barbados,898,0,0,0,0,0.0,0.0
Antigua and Barbuda,894,0,0,0,0,0.0,0.0
Nepal,893,0,0,0,0,0.0,0.0
Seychelles,853,0,0,0,0,0.0,0.0
Maldives,848,0,0,0,0,0.0,0.0
Cambodia,844,0,0,0,0,0.0,0.0
San Marino,836,0,0,0,0,0.0,0.0
Bonaire,836,0,0,0,0,0.0,0.0
Sri Lanka,827,0,0,0,0,0.0,0.0
Taiwan,821,0,0,0,0,0.0,0.0
Pakistan,812,0,0,0,0,0.0,0.0
Cayman Islands,805,0,0,0,0,0.0,0.0
Chagos Islands,782,0,0,0,0,0.0,0.0
Tuvalu,756,0,0,0,0,0.0,0.0
Sint Eustatius,737,0,0,0,0,0.0,0.0
Laos,734,0,0,0,0,0.0,0.0
Mongolia,729,0,0,0,0,0.0,0.0
Samoa,728,0,0,0,0,0.0,0.0
British Virgin Islands,727,0,0,0,0,0.0,0.0
Saint Barthelemy,725,0,0,0,0,0.0,0.0
Guam,718,0,0,0,0,0.0,0.0
Wallis and Futuna,699,0,0,0,0,0.0,0.0
Vatican,692,0,0,0,0,0.0,0.0
Saba,691,0,0,0,0,0.0,0.0
Bahamas,685,0,0,0,0,0.0,0.0
Saint Pierre and Miquelon,677,0,0,0,0,0.0,0.0
East Timor,673,0,0,0,0,0.0,0.0
Turks and Caicos Islands,657,0,0,0,0,0.0,0.0
Anguilla,646,0,0,0,0,0.0,0.0
Bhutan,636,0,0,0,0,0.0,0.0
Brunei,633,0,0,0,0,0.0,0.0
Tibet,629,0,0,0,0,0.0,0.0
US Virgin Islands,628,0,0,0,0,0.0,0.0
Cook Islands,622,0,0,0,0,0.0,0.0
Macao,588,0,0,0,0,0.0,0.0
Christmas Island,578,0,0,0,0,0.0,0.0
Falkland Islands,571,0,0,0,0,0.0,0.0
FS Micronesia,563,0,0,0,0,0.0,0.0
Marshall Islands,559,0,0,0,0,0.0,0.0
Kiribati,544,0,0,0,0,0.0,0.0
Tonga,520,0,0,0,0,0.0,0.0
Niue,496,0,0,0,0,0.0,0.0
Northern Mariana Islands,432,0,0,0,0,0.0,0.0
Cocos Islands,422,0,0,0,0,0.0,0.0
Palau,402,0,0,0,0,0.0,0.0
Eastern Samoa,369,0,0,0,0,0.0,0.0
